Field,BN,$a,SF2,Link
700,7962,"Fadeeva Sknarina, Sofía",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7962#tab7XX
700,8018,"Acosta C., Fernando",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8018#tab7XX
700,8196,"Flores Rojas, Misael",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8196#tab7XX
700,8214,"Reza, José Clemente",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8214#tab7XX
650,8347,FUNCIONES [MATEMATICAS],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8347#tab6XX
100,8422,"Schegliáiev, Andrei Vladimirivich",1902-1970,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8422#tab1XX
700,8423,"Maluquer Wahl, Juan J.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8423#tab7XX
100,8439,"Costes, Jean",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8439#tab1XX
700,8472,"Hernández Rramírez, Roberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8472#tab7XX
700,8472,"Montúfar Benítez, Marco Antonio",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8472#tab7XX
700,8512,"Pimentel Rogerio, Rubén",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8512#tab7XX
110,8519,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8519#tab1XX
110,8583,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8583#tab1XX
700,8606,"Tiscornia, Alejandro",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8606#tab7XX
700,8828,"González Lonzieme, Enrique",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8828#tab7XX
100,8899,"Paul, Richard P.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8899#tab1XX
110,8944,Texas Instruments,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8944#tab1XX
650,8977,FUNCIONES [MATEMATICAS],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=8977#tab6XX
700,9031,"De Olano, Douglas",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9031#tab7XX
110,9077,Shell,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9077#tab1XX
700,9103,"Dublanc, D. H.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9103#tab7XX
700,9141,"Muro Ortega González, Luis",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9141#tab7XX
110,9272,"American Association of State Highway and Transportation Officials. Washington, D. C.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9272#tab1XX
100,9280,"Hoüel, Jules",1823-1886,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9280#tab1XX
700,9287,"Verbeeck, Dirk Valckx",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9287#tab7XX
700,9306,"Sabato, Jorge A.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9306#tab7XX
100,9352,"Ferrari, R.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9352#tab1XX
700,9355,Coopesing,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9355#tab7XX
700,9386,"García, Roberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9386#tab7XX
100,9415,"Kraus, John Daniel",1910-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9415#tab1XX
100,9416,"Kraus, John Daniel",1910-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9416#tab1XX
100,9420,"Gennes, Pierre Giles de",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9420#tab1XX
700,9560,"Hawley, Gessner Goodrich",1905-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9560#tab7XX
710,9580,Siemens-Schuckertwerke,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9580#tab7XX
100,9592,"Fontela, Carlos Moisés",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9592#tab1XX
100,9625,"Butty, Enrique",1887-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9625#tab1XX
100,9640,"Fontela, Carlos Moisés",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9640#tab1XX
100,9687,"González, Hernán",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9687#tab1XX
100,9751,"Kuffel, E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9751#tab1XX
710,9788,National Research Council,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9788#tab7XX
110,9952,Shell,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=9952#tab1XX
110,10004,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10004#tab1XX
100,10052,"Molloy, E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10052#tab1XX
110,10078,Shell Compañía Argentina de Petróleo,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10078#tab1XX
100,10133,"Ferrari Bono, Bruno V.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10133#tab1XX
110,10209,Universidad de Buenos Aires,Facultad de Ingeniería,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10209#tab1XX
100,10216,"Butty, Enrique",1887-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10216#tab1XX
100,10282,"Krenkel, T.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10282#tab1XX
100,10283,"Krenkel, T.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10283#tab1XX
650,10291,ESTRUCTURAS [CONSTRUCCION],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10291#tab6XX
650,10319,ESTRUCTURAS [CONSTRUCCION],,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10319#tab6XX
650,10349,LABAORATORIOS DE ENSAYO,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10349#tab6XX
110,10357,Texas Instruments,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10357#tab1XX
110,10371,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10371#tab1XX
110,10409,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10409#tab1XX
110,10410,Siemens Aktiengesellschaft,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=10410#tab1XX
650,11340,INNOVACION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11340#tab6XX
700,11340,"Teitel, Simon, ",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11340#tab7XX
700,11340,"Westphal, Larry E., ",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11340#tab7XX
110,11503,Stone & Webster Engineering Corporation,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11503#tab1XX
100,11512,"Beer, Ferdinand B.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11512#tab1XX
700,11539,"Cochran, William G.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11539#tab7XX
100,11552,"Bunge, Alejandro E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11552#tab1XX
100,11557,"Rey Pastor, Julio, ",1888-1962,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11557#tab1XX
650,11558,TAYLORISMO,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11558#tab6XX
650,11558,PRODUCCION EN CADENA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11558#tab6XX
650,11560,HISTORIA DE LA EDUCACION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11560#tab6XX
650,11560,CREACION DE INSTITUCIONES EDUCATIVAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11560#tab6XX
700,11560,"García, Juan Agustín, ",1862-1923,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11560#tab7XX
650,11565,HISTORIA DE LA MEDICINA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11565#tab6XX
650,11565,EPIDEMIAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11565#tab6XX
700,11568,"Cervantes, J., ",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11568#tab7XX
650,11573,COMBUSTIBLES LEÑOSOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11573#tab6XX
700,11577,"Molloy, Edward, ",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab7XX
700,11577,"Campbell, F. W., ",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab7XX
700,11577,"Law, T. A., ",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab7XX
700,11577,"Morris, L. F., ",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab7XX
700,11577,"Sinclair, A. T., ",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11577#tab7XX
700,11578,"Fazzini, H. F., ",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11578#tab7XX
100,11588,"Boyce, William E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11588#tab1XX
110,11616,SKF,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11616#tab1XX
110,11626,Argentina,Ministerio de Obras Públicas,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11626#tab1XX
650,11627,ABOGADOS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11627#tab6XX
650,11627,HOMENAJES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11627#tab6XX
650,11628,HOMENAJES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11628#tab6XX
100,11638,"Gandolfo, José S.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11638#tab1XX
100,11647,"Butty, Enrique",1887-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11647#tab1XX
110,11683,SKF,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11683#tab1XX
650,11694,POETAS,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11694#tab6XX
650,11694,HOMENAJES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11694#tab6XX
650,11701,HOMENAJES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11701#tab6XX
650,11702,ASTROMETRIA,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11702#tab6XX
650,11702,EFEMERIDES,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11702#tab6XX
700,11715,"Ireson, William Grant",1914-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11715#tab7XX
700,11715,"Grant, Eugene Lodewick",1897-,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11715#tab7XX
100,11861,"Rubio, Sanjuán",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11861#tab1XX
700,11864,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11864#tab7XX
700,11867,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11867#tab7XX
700,11870,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11870#tab7XX
700,11892,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=11892#tab7XX
700,12065,"del Carril, Tomás",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12065#tab7XX
700,12082,"Alberto, Dams",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12082#tab7XX
100,12206,"López, Fernando",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12206#tab1XX
100,12310,"Samitier, Jorge",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12310#tab1XX
700,12426,"Armentano, Ricardo L.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12426#tab7XX
700,12438,"Dams, Juan Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12438#tab7XX
700,12455,"García-Martínez, Ramón",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12455#tab7XX
700,12502,"Dams, Alberto Armando",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12502#tab7XX
100,12546,"Lew, Sergio E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12546#tab1XX
700,12548,"Armentano, Ricardo L.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12548#tab7XX
700,12568,"Villagra, Sergio G.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12568#tab7XX
700,12581,"Gurlekian, Jorge",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12581#tab7XX
700,12647,"Rufiner, Leonardo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12647#tab7XX
700,12647,"Gurlekian, Jorge",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12647#tab7XX
700,12653,"Lew, Sergio E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12653#tab7XX
700,12665,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12665#tab7XX
700,12667,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12667#tab7XX
700,12669,"Lew, Sergio E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12669#tab7XX
700,12670,"Lew, Sergio E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12670#tab7XX
700,12674,"Lew, Sergio E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12674#tab7XX
700,12680,"Rufiner, Leonardo",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12680#tab7XX
700,12681,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12681#tab7XX
700,12683,"Cassanello, Miryan C.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12683#tab7XX
700,12685,"Mártire, Daniel",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12685#tab7XX
700,12687,"Lew, Sergio E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12687#tab7XX
700,12700,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12700#tab7XX
700,12703,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12703#tab7XX
700,12705,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12705#tab7XX
700,12707,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12707#tab7XX
700,12714,"Giribet, Juan Ingacio",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12714#tab7XX
700,12718,"Lew, Sergio E.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12718#tab7XX
700,12732,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12732#tab7XX
700,12735,"Ulla, M. Alicia H.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12735#tab7XX
700,12744,"Dams, Alberto",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12744#tab7XX
700,12754,"Della Maggiore, Valeria",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12754#tab7XX
700,12760,"Lutemberg, Ariel",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12760#tab7XX
100,12799,"Faure, Robert",1918-1962,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12799#tab1XX
100,12815,"Schleifer, Arthur, Jr.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12815#tab1XX
650,12816,TECNICAS DE PREVISION,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12816#tab6XX
700,12836,"Pérez Castellanos, Hernán",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=12836#tab7XX
